InsertionSort-Cresc,InsertionSort-Decresc,InsertionSort-Aleatorio,BubbleSort2-Cresc,BubbleSort2-Decresc,BubbleSort2-Aleatorio,BubbleSort-Cresc,BubbleSort-Decresc,BubbleSort-Aleatorio,SelectionSort-Cresc,SelectionSort-Decresc,SelectionSort-Aleatorio,
0,0,0,0,0,0,0,0,0,0,0,0,
2,3,2,1,1,1,2,2,2,2,2,2,
4,8,8,2,2,2,5,5,5,5,5,5,
6,15,11,3,3,3,9,9,9,9,9,9,
8,24,14,4,4,4,14,14,14,14,14,14,
10,35,29,5,5,5,20,20,20,20,20,20,
12,48,44,6,6,6,27,27,27,27,27,27,
14,63,53,7,7,7,35,35,35,35,35,35,
16,80,57,8,8,8,44,44,44,44,44,44,
18,99,53,9,9,9,54,54,54,54,54,54,
20,120,88,10,10,10,65,65,65,65,65,65,
22,143,69,11,11,11,77,77,77,77,77,77,
24,168,92,12,12,12,90,90,90,90,90,90,
26,195,105,13,13,13,104,104,104,104,104,104,
28,224,156,14,14,14,119,119,119,119,119,119,
30,255,142,15,15,15,135,135,135,135,135,135,
32,288,137,16,16,16,152,152,152,152,152,152,
34,323,227,17,17,17,170,170,170,170,170,170,
36,360,195,18,18,18,189,189,189,189,189,189,
38,399,280,19,19,19,209,209,209,209,209,209,
40,440,224,20,20,20,230,230,230,230,230,230,
42,483,210,21,21,21,252,252,252,252,252,252,
44,528,241,22,22,22,275,275,275,275,275,275,
46,575,358,23,23,23,299,299,299,299,299,299,
48,624,380,24,24,24,324,324,324,324,324,324,
50,675,418,25,25,25,350,350,350,350,350,350,
52,728,330,26,26,26,377,377,377,377,377,377,
54,783,451,27,27,27,405,405,405,405,405,405,
56,840,489,28,28,28,434,434,434,434,434,434,
58,899,465,29,29,29,464,464,464,464,464,464,
60,960,466,30,30,30,495,495,495,495,495,495,
62,1023,578,31,31,31,527,527,527,527,527,527,
64,1088,579,32,32,32,560,560,560,560,560,560,
66,1155,626,33,33,33,594,594,594,594,594,594,
68,1224,620,34,34,34,629,629,629,629,629,629,
70,1295,771,35,35,35,665,665,665,665,665,665,
72,1368,803,36,36,36,702,702,702,702,702,702,
74,1443,903,37,37,37,740,740,740,740,740,740,
76,1520,849,38,38,38,779,779,779,779,779,779,
78,1599,700,39,39,39,819,819,819,819,819,819,
80,1680,873,40,40,40,860,860,860,860,860,860,
82,1763,1088,41,41,41,902,902,902,902,902,902,
84,1848,978,42,42,42,945,945,945,945,945,945,
86,1935,952,43,43,43,989,989,989,989,989,989,
88,2024,1071,44,44,44,1034,1034,1034,1034,1034,1034,
90,2115,1006,45,45,45,1080,1080,1080,1080,1080,1080,
92,2208,1149,46,46,46,1127,1127,1127,1127,1127,1127,
94,2303,1232,47,47,47,1175,1175,1175,1175,1175,1175,
96,2400,1281,48,48,48,1224,1224,1224,1224,1224,1224,
98,2499,1129,49,49,49,1274,1274,1274,1274,1274,1274,
100,2600,1574,50,50,50,1325,1325,1325,1325,1325,1325,
102,2703,1143,51,51,51,1377,1377,1377,1377,1377,1377,
104,2808,1488,52,52,52,1430,1430,1430,1430,1430,1430,
106,2915,1402,53,53,53,1484,1484,1484,1484,1484,1484,
108,3024,1673,54,54,54,1539,1539,1539,1539,1539,1539,
110,3135,1364,55,55,55,1595,1595,1595,1595,1595,1595,
112,3248,1724,56,56,56,1652,1652,1652,1652,1652,1652,
